minutes_per_alert,investigator_cost,recall_policy,holdout_recall_achieved_pct,volume_deferred_pct,net_annual_benefit_cad,payback_months
15,low,100%,100.0,15.88,48651,10.0
15,low,99%,97.83,54.98,211745,2.3
15,low,95%,96.38,72.5,284818,1.7
15,base,100%,100.0,15.88,71563,6.8
15,base,99%,97.83,54.98,275431,1.8
15,base,95%,96.38,72.5,366772,1.3
15,high,100%,100.0,15.88,100204,4.9
15,high,99%,97.83,54.98,355039,1.4
15,high,95%,96.38,72.5,469216,1.0
22,low,100%,100.0,15.88,91421,5.3
22,low,99%,97.83,54.98,330626,1.5
22,low,95%,96.38,72.5,437800,1.1
22,base,100%,100.0,15.88,125027,3.9
22,base,99%,97.83,54.98,424033,1.1
22,base,95%,96.38,72.5,558000,0.9
22,high,100%,100.0,15.88,167033,2.9
22,high,99%,97.83,54.98,540791,0.9
22,high,95%,96.38,72.5,708250,0.7
30,low,100%,100.0,15.88,140302,3.5
30,low,99%,97.83,54.98,466490,1.0
30,low,95%,96.38,72.5,612636,0.8
30,base,100%,100.0,15.88,186127,2.6
30,base,99%,97.83,54.98,593863,0.8
30,base,95%,96.38,72.5,776545,0.6
30,high,100%,100.0,15.88,243409,2.0
30,high,99%,97.83,54.98,753079,0.6
30,high,95%,96.38,72.5,981432,0.5
