feature,gain
occupation_or_business_type,69847.66506642103
highrisk_share_30d,26733.207632269765
vol_credit_7d,26257.077949736384
vol_highrisk_30d,17042.661440854892
vol_cash_credit_30d,15423.40421005608
cash_share_30d,12225.399108738327
kyc_risk_rating,8549.50747409837
newest_account_age,4786.740231742839
n_band_cash_30d,3823.118853337859
round_share_30d,3792.822623940043
vol_cash_credit_7d,2983.463832170673
wire_share_30d,2894.5958256372924
vol_wire_30d,2772.378166193681
cash_share_90d,2606.2187899331584
prior_alerts,2394.54384008958
band_share_30d,2242.5058489044313
vol_credit_90d,2057.94575496616
declared_annual_income_cad,2030.8451455870963
vol_wire_90d,1721.9378418003835
vol_to_declared_30d,1614.6301054368178
vol_total_90d,1491.7380141793983
offhours_share_30d,1460.5961148235074
vol_per_counterparty_30d,1424.959395082523
velocity_ratio,1406.1339960065889
retention_90d,1359.7809074922989
n_band_cash_90d,1302.7256948072318
n_wire_90d,1065.4427976500265
n_offhours_90d,1065.4205144860462
onboarding_channel,1063.9981775283813
is_pep,1032.3392469475511
txn_per_active_day,954.6872163250341
tenure_months,827.3761239613686
n_round_90d,796.3669618324202
max_amt_7d,755.2254376415149
n_rules_same_day,726.169891614758
txn_velocity_ratio,623.6834452750243
retention_30d,581.8446931063977
n_round_30d,556.0013702498582
vol_cash_credit_90d,465.467426004696
vol_debit_90d,464.9494020189111
max_amt_30d,420.08130319729025
vol_highrisk_90d,417.72186580317793
n_offhours_30d,395.7734142858535
vol_to_declared_90d,378.1843333563156
vol_debit_30d,341.4148581776244
active_days_90d,340.90934879534416
n_cash_credit_30d,323.1074908014198
vol_highrisk_7d,282.59486257851677
vol_total_7d,263.3776962888764
n_round_7d,231.6070816822321
vol_wire_7d,211.17447120741417
n_cash_credit_7d,210.26304886707845
n_txn_30d,201.665018732514
is_cash_intensive_business,198.6601229041844
n_accounts,192.3538073041418
trigger_amount,186.96919986648209
vol_credit_30d,177.55891030665953
vol_debit_7d,132.11309267835168
n_offhours_7d,130.45232286670944
n_highrisk_90d,126.88840130118479
days_since_prior_alert,122.18536076319388
n_txn_90d,119.18243390306452
n_txn_7d,99.78727970508044
home_province,93.53055024147034
n_band_cash_7d,74.7755409750389
n_cash_credit_90d,73.91219207060567
trigger_txn_count,66.96268118069565
vol_total_30d,65.60338472255262
n_highrisk_7d,62.05514429073082
n_wire_7d,60.3762330156751
customer_segment,51.16163256107757
n_wire_30d,47.750299129242194
max_amt_90d,43.19705109600909
n_counterparties_90d,27.455218933930155
n_highrisk_30d,21.50595085501118
n_counterparties_30d,6.307169962237822
n_counterparties_7d,1.1369067631894723
rule_id,0.0
tenure_band,0.0
rule_family,0.0
severity,0.0
