rule_a,rule_b,alerts_a,alerts_b,overlapping_events,jaccard,pct_of_a_covered_by_b,pct_of_b_covered_by_a
R001,R008,350,1323,303,0.2212,86.57,22.9
R002,R008,7643,1323,1007,0.1265,13.18,76.11
R003,R006,1282,950,137,0.0654,10.69,14.42
R004,R006,5908,950,409,0.0634,6.92,43.05
R001,R002,350,7643,323,0.0421,92.29,4.23
R003,R005,1282,10820,433,0.0371,33.78,4.0
R004,R005,5908,10820,355,0.0217,6.01,3.28
R005,R006,10820,950,240,0.0208,2.22,25.26
R003,R004,1282,5908,135,0.0191,10.53,2.29
R005,R008,10820,1323,176,0.0147,1.63,13.3
R002,R005,7643,10820,221,0.0121,2.89,2.04
R001,R005,350,10820,122,0.011,34.86,1.13
R002,R004,7643,5908,73,0.0054,0.96,1.24
R003,R008,1282,1323,11,0.0042,0.86,0.83
R002,R003,7643,1282,26,0.0029,0.34,2.03
R001,R006,350,950,3,0.0023,0.86,0.32
R004,R008,5908,1323,16,0.0022,0.27,1.21
R006,R008,950,1323,5,0.0022,0.53,0.38
R001,R003,350,1282,3,0.0018,0.86,0.23
R002,R006,7643,950,14,0.0016,0.18,1.47
R001,R004,350,5908,6,0.001,1.71,0.1
