alert_id,rule_id,customer_key,date_key,score,score_gbm,is_true_positive,split,priority,score_percentile,tier
R001-12-112,R001,12,112,3.330509068287047e-07,3.457873449537206e-07,0,train,deferred,0.0239,T3_thirty_day
R001-95-11,R001,95,11,3.630077371101347e-05,1.5010595721057662e-08,0,train,review,0.1602,T3_thirty_day
R001-95-12,R001,95,12,9.316324409416933e-05,1.7460678415805658e-08,0,train,review,0.2204,T3_thirty_day
R001-99-62,R001,99,62,0.9923062661342872,0.9999997568234676,1,train,review,0.9806,T1_same_day
R001-99-63,R001,99,63,0.9910083170968756,0.9999997606242621,1,train,review,0.9797,T1_same_day
R001-99-67,R001,99,67,0.9900511288739706,0.9999997804095941,1,train,review,0.979,T1_same_day
R001-99-74,R001,99,74,0.9922109070197065,0.9999997831423553,1,train,review,0.9805,T1_same_day
R001-99-77,R001,99,77,0.9928360928178701,0.9999998053717961,1,train,review,0.9812,T1_same_day
R001-143-97,R001,143,97,0.0005546907805823788,1.9470568497889635e-07,0,train,review,0.3697,T3_thirty_day
R001-143-98,R001,143,98,0.0008099367303936224,8.099176130367501e-07,0,train,review,0.4056,T3_thirty_day
R001-163-20,R001,163,20,0.0002102207802261391,6.48469562738784e-08,0,train,review,0.2849,T3_thirty_day
R001-239-52,R001,239,52,0.013017200163050064,1.1021049236185772e-07,0,train,review,0.6823,T2_five_day
R001-240-58,R001,240,58,0.05908366386810706,6.061173015631265e-07,0,train,review,0.7995,T2_five_day
R001-240-78,R001,240,78,0.13516841623537887,1.0320590331423417e-06,0,train,review,0.8524,T2_five_day
R001-240-79,R001,240,79,0.07860024998496613,1.5989392599966002e-06,0,train,review,0.8189,T2_five_day
R001-317-85,R001,317,85,0.8954114288577496,1.515313962533008e-06,0,train,review,0.9535,T1_same_day
R001-317-90,R001,317,90,0.8958434553089637,1.8215083577605403e-06,0,train,review,0.9536,T1_same_day
R001-317-91,R001,317,91,0.8871511842617396,2.28361907508069e-06,0,train,review,0.9527,T1_same_day
R001-317-96,R001,317,96,0.9308518112632601,2.8791207502919864e-06,0,train,review,0.9592,T1_same_day
R001-317-98,R001,317,98,0.9358311511297385,1.9994174886266847e-06,0,train,review,0.9601,T1_same_day
R001-317-101,R001,317,101,0.9436677705436014,2.00929306124363e-06,0,train,review,0.9619,T1_same_day
R001-317-106,R001,317,106,0.965098365415903,3.077126828384967e-06,0,train,review,0.968,T1_same_day
R001-317-107,R001,317,107,0.9364329557825237,3.246515521895538e-06,0,train,review,0.9602,T1_same_day
R001-355-88,R001,355,88,0.9914516703501511,0.9999996099375887,1,train,review,0.98,T1_same_day
R001-355-89,R001,355,89,0.9962556689017578,0.9999998095430548,1,train,review,0.9844,T1_same_day
R001-355-94,R001,355,94,0.9941903864243427,0.9999998147067602,1,train,review,0.9826,T1_same_day
R001-355-99,R001,355,99,0.9951652588665021,0.9999999169426061,1,train,review,0.9833,T1_same_day
R001-355-111,R001,355,111,0.9970407010578295,0.999999893491127,1,train,review,0.9861,T1_same_day
