alert_id,rule_id,customer_key,date_key,score,score_gbm,is_true_positive,split,priority,score_percentile,tier,reason_1,reason_2,reason_3,top_mitigant,reason_summary
R001-12-112,R001,12,112,3.330509068287047e-07,3.457873449537206e-07,0,train,deferred,0.0239,T3_thirty_day,share of 30-day credits arriving as cash,30-day cash credit volume,90-day near-threshold cash deposit count,cash-intensive business type,share of 30-day credits arriving as cash; 30-day cash credit volume; 90-day near-threshold cash deposit count
R001-95-11,R001,95,11,3.630077371101347e-05,1.5010595721057662e-08,0,train,review,0.1602,T3_thirty_day,share of 30-day credits arriving as cash,7-day high-risk jurisdiction count,30-day largest transaction,cash-intensive business type,share of 30-day credits arriving as cash; 7-day high-risk jurisdiction count; 30-day largest transaction
R001-95-12,R001,95,12,9.316324409416932e-05,1.7460678415805658e-08,0,train,review,0.2204,T3_thirty_day,share of 30-day credits arriving as cash,7-day high-risk jurisdiction count,home province ON,cash-intensive business type,share of 30-day credits arriving as cash; 7-day high-risk jurisdiction count; home province ON
R001-99-62,R001,99,62,0.9923062661342872,0.9999997568234676,1,train,review,0.9806,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,90-day debit value,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
R001-99-63,R001,99,63,0.9910083170968756,0.999999760624262,1,train,review,0.9797,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
R001-99-67,R001,99,67,0.9900511288739706,0.999999780409594,1,train,review,0.979,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 90-day near-threshold cash deposit count
R001-99-74,R001,99,74,0.9922109070197064,0.9999997831423552,1,train,review,0.9805,T1_same_day,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; 90-day near-threshold cash deposit count; cash-intensive business type
R001-99-77,R001,99,77,0.99283609281787,0.999999805371796,1,train,review,0.9812,T1_same_day,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; 90-day near-threshold cash deposit count; cash-intensive business type
R001-143-97,R001,143,97,0.0005546907805823,1.9470568497889638e-07,0,train,review,0.3697,T3_thirty_day,90-day total value,90-day transaction count,90-day debit value,90-day wire value,90-day total value; 90-day transaction count; 90-day debit value
R001-143-98,R001,143,98,0.0008099367303936,8.099176130367501e-07,0,train,review,0.4056,T3_thirty_day,90-day total value,90-day transaction count,90-day debit value,90-day wire value,90-day total value; 90-day transaction count; 90-day debit value
R001-163-20,R001,163,20,0.0002102207802261,6.48469562738784e-08,0,train,review,0.2849,T3_thirty_day,share of 30-day credits arriving as cash,7-day cash credit volume,30-day cash credit volume,cash-intensive business type,share of 30-day credits arriving as cash; 7-day cash credit volume; 30-day cash credit volume
R001-239-52,R001,239,52,0.01301720016305,1.1021049236185773e-07,0,train,review,0.6823,T2_five_day,share of 30-day credits arriving as cash,30-day cash credit volume,30-day cash credit count,cash-intensive business type,share of 30-day credits arriving as cash; 30-day cash credit volume; 30-day cash credit count
R001-240-58,R001,240,58,0.059083663868107,6.061173015631265e-07,0,train,review,0.7995,T2_five_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,30-day value with high-risk jurisdictions,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
R001-240-78,R001,240,78,0.1351684162353788,1.0320590331423415e-06,0,train,review,0.8524,T2_five_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
R001-240-79,R001,240,79,0.0786002499849661,1.5989392599966002e-06,0,train,review,0.8189,T2_five_day,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 90-day near-threshold cash deposit count
R001-317-85,R001,317,85,0.8954114288577496,1.515313962533008e-06,0,train,review,0.9535,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
R001-317-90,R001,317,90,0.8958434553089637,1.8215083577605405e-06,0,train,review,0.9536,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 90-day near-threshold cash deposit count
R001-317-91,R001,317,91,0.8871511842617396,2.28361907508069e-06,0,train,review,0.9527,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; cash-intensive business type; 90-day near-threshold cash deposit count
R001-317-96,R001,317,96,0.93085181126326,2.8791207502919864e-06,0,train,review,0.9592,T1_same_day,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days,share of 30-day credits arriving as cash; 90-day near-threshold cash deposit count; cash-intensive business type
R001-317-98,R001,317,98,0.9358311511297384,1.9994174886266847e-06,0,train,review,0.9601,T1_same_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; cash-intensive business type
R001-317-101,R001,317,101,0.9436677705436014,2.00929306124363e-06,0,train,review,0.9619,T1_same_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,cash-intensive business type,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; cash-intensive business type
R001-317-106,R001,317,106,0.965098365415903,3.077126828384967e-06,0,train,review,0.968,T1_same_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,30-day cash credit volume,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; 30-day cash credit volume
R001-317-107,R001,317,107,0.9364329557825236,3.246515521895538e-06,0,train,review,0.9602,T1_same_day,90-day near-threshold cash deposit count,share of 30-day credits arriving as cash,30-day cash credit volume,count of near-threshold cash deposits in 30 days,90-day near-threshold cash deposit count; share of 30-day credits arriving as cash; 30-day cash credit volume
R001-355-88,R001,355,88,0.9914516703501512,0.9999996099375889,1,train,review,0.98,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,30-day value with high-risk jurisdictions,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
R001-355-89,R001,355,89,0.9962556689017578,0.9999998095430548,1,train,review,0.9844,T1_same_day,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,30-day value with high-risk jurisdictions,share of 30-day credits arriving as cash; cash-intensive business type; 30-day largest transaction
