customer_key,customer_id,customer_segment,occupation_or_business_type,is_cash_intensive_business,tenure_months,tenure_band,kyc_risk_rating,is_pep,declared_annual_income_cad,home_province,onboarding_channel
1,C000001,personal,salaried_employee,0,180,84m+,low,0,96900.0,BC,mobile
2,C000002,business,consulting,0,3,00-11m,low,0,565600.0,QC,broker
3,C000003,personal,student,0,133,84m+,low,0,90400.0,ON,branch
4,C000004,personal,healthcare_worker,0,133,84m+,medium,0,41900.0,ON,branch
5,C000005,personal,retired,0,3,00-11m,low,0,61600.0,ON,branch
6,C000006,business,convenience_retail,1,10,00-11m,low,0,187200.0,BC,broker
7,C000007,personal,salaried_employee,0,122,84m+,low,0,58100.0,ON,mobile
8,C000008,personal,public_sector,0,80,36-83m,medium,0,92200.0,ON,branch
9,C000009,personal,tradesperson,0,46,36-83m,low,0,37400.0,ON,branch
10,C000010,personal,tradesperson,0,93,84m+,low,0,71500.0,ON,online
11,C000011,personal,healthcare_worker,0,39,36-83m,low,0,64900.0,AB,branch
12,C000012,business,convenience_retail,1,158,84m+,low,0,120700.0,MB,branch
13,C000013,personal,tradesperson,0,49,36-83m,high,0,46000.0,NS,mobile
14,C000014,personal,healthcare_worker,0,80,36-83m,low,0,52200.0,QC,branch
15,C000015,business,consulting,0,39,36-83m,low,0,216800.0,ON,online
16,C000016,personal,self_employed,0,98,84m+,low,0,31700.0,ON,branch
17,C000017,personal,public_sector,0,28,12-35m,high,0,47300.0,QC,branch
18,C000018,personal,salaried_employee,0,15,12-35m,low,0,69100.0,QC,online
19,C000019,business,consulting,0,36,36-83m,low,0,529500.0,NS,branch
20,C000020,personal,tradesperson,0,49,36-83m,low,0,30200.0,BC,mobile
21,C000021,personal,retired,0,152,84m+,medium,0,45400.0,ON,online
22,C000022,personal,public_sector,0,42,36-83m,low,0,44900.0,ON,mobile
23,C000023,business,construction,0,53,36-83m,medium,0,338500.0,BC,online
24,C000024,personal,salaried_employee,0,69,36-83m,low,0,227700.0,SK,online
25,C000025,personal,self_employed,0,85,84m+,medium,0,29500.0,BC,branch
26,C000026,personal,self_employed,0,63,36-83m,low,0,65900.0,ON,branch
27,C000027,personal,student,0,24,12-35m,low,0,81100.0,ON,broker
28,C000028,personal,public_sector,0,53,36-83m,medium,0,51700.0,ON,online
29,C000029,personal,healthcare_worker,0,13,12-35m,medium,0,59100.0,ON,branch
30,C000030,personal,healthcare_worker,0,59,36-83m,low,0,38100.0,ON,online
31,C000031,business,money_services,0,121,84m+,low,0,288000.0,NS,branch
32,C000032,business,consulting,0,19,12-35m,medium,0,972900.0,QC,branch
33,C000033,business,import_export,0,29,12-35m,medium,0,656300.0,ON,mobile
34,C000034,personal,healthcare_worker,0,107,84m+,low,0,132600.0,BC,branch
35,C000035,business,convenience_retail,1,131,84m+,low,0,458600.0,AB,branch
36,C000036,business,salon,1,34,12-35m,low,0,69700.0,QC,online
37,C000037,personal,retired,0,29,12-35m,low,0,174500.0,ON,branch
38,C000038,personal,retired,0,11,00-11m,low,0,84200.0,ON,branch
39,C000039,personal,healthcare_worker,0,20,12-35m,low,0,34200.0,ON,branch
40,C000040,personal,tradesperson,0,39,36-83m,low,0,44500.0,BC,mobile
41,C000041,business,convenience_retail,1,218,84m+,medium,0,333700.0,AB,branch
42,C000042,personal,healthcare_worker,0,153,84m+,medium,0,53300.0,ON,mobile
43,C000043,personal,retired,0,51,36-83m,low,0,70600.0,ON,online
44,C000044,personal,public_sector,0,68,36-83m,low,0,75000.0,ON,mobile
45,C000045,personal,student,0,69,36-83m,low,0,88200.0,NS,broker
46,C000046,personal,retired,0,59,36-83m,low,0,66200.0,ON,online
47,C000047,business,construction,0,90,84m+,low,0,162000.0,AB,branch
48,C000048,personal,student,0,118,84m+,low,1,46300.0,AB,mobile
49,C000049,personal,healthcare_worker,0,90,84m+,low,0,122000.0,QC,branch
50,C000050,personal,student,0,110,84m+,low,0,93900.0,AB,mobile
51,C000051,business,consulting,0,84,84m+,medium,0,644900.0,ON,branch
52,C000052,personal,tradesperson,0,53,36-83m,low,0,30200.0,QC,broker
53,C000053,personal,tradesperson,0,36,36-83m,low,0,48000.0,ON,online
54,C000054,personal,self_employed,0,103,84m+,low,0,73200.0,ON,mobile
