date_key,calendar_date,year,month,day_of_week,is_weekend,month_name
0,2025-09-01,2025,9,1,0,Sep
1,2025-09-02,2025,9,2,0,Sep
2,2025-09-03,2025,9,3,0,Sep
3,2025-09-04,2025,9,4,0,Sep
4,2025-09-05,2025,9,5,0,Sep
5,2025-09-06,2025,9,6,1,Sep
6,2025-09-07,2025,9,0,1,Sep
7,2025-09-08,2025,9,1,0,Sep
8,2025-09-09,2025,9,2,0,Sep
9,2025-09-10,2025,9,3,0,Sep
10,2025-09-11,2025,9,4,0,Sep
11,2025-09-12,2025,9,5,0,Sep
12,2025-09-13,2025,9,6,1,Sep
13,2025-09-14,2025,9,0,1,Sep
14,2025-09-15,2025,9,1,0,Sep
15,2025-09-16,2025,9,2,0,Sep
16,2025-09-17,2025,9,3,0,Sep
17,2025-09-18,2025,9,4,0,Sep
18,2025-09-19,2025,9,5,0,Sep
19,2025-09-20,2025,9,6,1,Sep
20,2025-09-21,2025,9,0,1,Sep
21,2025-09-22,2025,9,1,0,Sep
22,2025-09-23,2025,9,2,0,Sep
23,2025-09-24,2025,9,3,0,Sep
24,2025-09-25,2025,9,4,0,Sep
25,2025-09-26,2025,9,5,0,Sep
26,2025-09-27,2025,9,6,1,Sep
27,2025-09-28,2025,9,0,1,Sep
28,2025-09-29,2025,9,1,0,Sep
29,2025-09-30,2025,9,2,0,Sep
30,2025-10-01,2025,10,3,0,Oct
31,2025-10-02,2025,10,4,0,Oct
32,2025-10-03,2025,10,5,0,Oct
33,2025-10-04,2025,10,6,1,Oct
34,2025-10-05,2025,10,0,1,Oct
35,2025-10-06,2025,10,1,0,Oct
36,2025-10-07,2025,10,2,0,Oct
37,2025-10-08,2025,10,3,0,Oct
38,2025-10-09,2025,10,4,0,Oct
39,2025-10-10,2025,10,5,0,Oct
40,2025-10-11,2025,10,6,1,Oct
41,2025-10-12,2025,10,0,1,Oct
42,2025-10-13,2025,10,1,0,Oct
43,2025-10-14,2025,10,2,0,Oct
44,2025-10-15,2025,10,3,0,Oct
45,2025-10-16,2025,10,4,0,Oct
46,2025-10-17,2025,10,5,0,Oct
47,2025-10-18,2025,10,6,1,Oct
