alert_id,rule_id,customer_key,date_key,calendar_date,trigger_amount,trigger_txn_count,detail,score,score_percentile,tier,priority,split,is_true_positive,reason_1,reason_2,reason_3,top_mitigant
R001-12-112,R001,12,112,2025-12-22,34742.54,4.0,"cash credits in 8k-9,999 band within 48h: 4",3.330509068287047e-07,0.0239,T3_thirty_day,deferred,train,0,share of 30-day credits arriving as cash,30-day cash credit volume,90-day near-threshold cash deposit count,cash-intensive business type
R001-95-11,R001,95,11,2025-09-12,27322.55,3.0,"cash credits in 8k-9,999 band within 48h: 3",3.630077371101347e-05,0.1602,T3_thirty_day,review,train,0,share of 30-day credits arriving as cash,7-day high-risk jurisdiction count,30-day largest transaction,cash-intensive business type
R001-95-12,R001,95,12,2025-09-13,35859.869999999995,4.0,"cash credits in 8k-9,999 band within 48h: 4",9.316324409416932e-05,0.2204,T3_thirty_day,review,train,0,share of 30-day credits arriving as cash,7-day high-risk jurisdiction count,home province ON,cash-intensive business type
R001-99-62,R001,99,62,2025-11-02,36543.01,4.0,"cash credits in 8k-9,999 band within 48h: 4",0.9923062661342872,0.9806,T1_same_day,review,train,1,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,90-day debit value
R001-99-63,R001,99,63,2025-11-03,62890.21,7.0,"cash credits in 8k-9,999 band within 48h: 7",0.9910083170968756,0.9797,T1_same_day,review,train,1,share of 30-day credits arriving as cash,cash-intensive business type,30-day largest transaction,count of near-threshold cash deposits in 30 days
R001-99-67,R001,99,67,2025-11-07,26400.91,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.9900511288739706,0.979,T1_same_day,review,train,1,share of 30-day credits arriving as cash,cash-intensive business type,90-day near-threshold cash deposit count,count of near-threshold cash deposits in 30 days
R001-99-74,R001,99,74,2025-11-14,28776.46,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.9922109070197064,0.9805,T1_same_day,review,train,1,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-99-77,R001,99,77,2025-11-17,28377.79,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.99283609281787,0.9812,T1_same_day,review,train,1,share of 30-day credits arriving as cash,90-day near-threshold cash deposit count,cash-intensive business type,count of near-threshold cash deposits in 30 days
R001-143-97,R001,143,97,2025-12-07,25342.79,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.0005546907805823,0.3697,T3_thirty_day,review,train,0,90-day total value,90-day transaction count,90-day debit value,90-day wire value
R001-143-98,R001,143,98,2025-12-08,25502.53,3.0,"cash credits in 8k-9,999 band within 48h: 3",0.0008099367303936,0.4056,T3_thirty_day,review,train,0,90-day total value,90-day transaction count,90-day debit value,90-day wire value
