customer_key,week_index,week_start_date,n_txn,total_value,credit_value,debit_value,cash_credit_value,high_risk_value,distinct_counterparties
1,0,2025-09-01,6,2577.6,1509.63,1067.97,0.0,0.0,6
1,1,2025-09-10,3,585.59,498.84,86.75,0.0,0.0,3
1,2,2025-09-16,2,15148.92,148.92,15000.0,0.0,0.0,2
1,3,2025-09-23,5,31149.28,555.52,30593.76,0.0,0.0,4
1,4,2025-09-29,3,27182.969999999998,87.3,27095.67,0.0,27095.67,3
1,5,2025-10-07,5,34518.9,0.0,34518.9,0.0,18556.84,5
1,6,2025-10-14,4,1222.68,322.82,899.86,0.0,0.0,4
1,7,2025-10-21,3,435.7,0.0,435.7,0.0,0.0,3
1,8,2025-10-28,3,1074.54,0.0,1074.54,0.0,0.0,3
1,9,2025-11-03,1,966.71,966.71,0.0,0.0,0.0,1
1,10,2025-11-13,2,1379.92,0.0,1379.92,0.0,0.0,2
1,11,2025-11-20,4,8961.43,204.65,8756.78,0.0,8567.43,4
1,12,2025-11-24,7,13786.26,346.46,13439.8,346.46,12371.74,7
1,13,2025-12-01,2,1215.66,0.0,1215.66,0.0,0.0,2
1,14,2025-12-08,3,8990.4,0.0,8990.4,0.0,4535.79,3
1,15,2025-12-15,2,2610.11,97.82,2512.29,0.0,0.0,2
1,16,2025-12-22,2,16311.5,1278.68,15032.82,0.0,15032.82,2
1,17,2025-12-30,3,8312.39,173.9,8138.49,0.0,8103.36,3
1,18,2026-01-05,1,447.2,0.0,447.2,0.0,0.0,1
1,19,2026-01-12,7,51730.2,0.0,51730.2,0.0,51275.5,7
1,20,2026-01-21,1,194.62,0.0,194.62,0.0,0.0,1
1,21,2026-01-28,4,19035.760000000002,0.0,19035.760000000002,0.0,18697.43,4
1,22,2026-02-02,3,18694.13,0.0,18694.13,0.0,18186.02,3
1,23,2026-02-12,2,59.76,39.98,19.78,0.0,0.0,2
1,24,2026-02-16,4,17028.72,0.0,17028.72,0.0,15448.7,4
1,25,2026-02-23,6,17036.2,0.0,17036.2,0.0,15164.74,6
3,0,2025-09-01,4,24792.44,1176.82,23615.62,0.0,14889.26,4
3,1,2025-09-08,1,182.31,0.0,182.31,0.0,0.0,1
3,2,2025-09-16,2,25430.17,0.0,25430.17,0.0,16024.89,2
3,5,2025-10-09,1,12014.92,0.0,12014.92,0.0,12014.92,1
3,6,2025-10-15,2,3017.05,2788.75,228.3,2788.75,0.0,2
3,7,2025-10-24,1,7857.45,0.0,7857.45,0.0,7857.45,1
3,8,2025-11-02,1,7667.28,0.0,7667.28,0.0,7667.28,1
3,9,2025-11-05,3,21063.91,891.46,20172.45,0.0,19442.88,3
3,10,2025-11-12,1,817.83,0.0,817.83,0.0,0.0,1
3,11,2025-11-20,3,22442.29,0.0,22442.29,0.0,20346.85,3
3,12,2025-11-24,2,15522.47,369.58,15152.89,0.0,15152.89,2
3,13,2025-12-06,1,789.95,0.0,789.95,0.0,0.0,1
3,14,2025-12-08,2,9484.179999999998,0.0,9484.179999999998,0.0,9363.71,2
3,15,2025-12-17,3,26445.51,0.0,26445.51,0.0,0.0,3
3,16,2025-12-22,2,10203.87,122.27,10081.6,0.0,10081.6,2
3,17,2026-01-02,1,344.77,0.0,344.77,0.0,0.0,1
3,18,2026-01-06,2,3523.61,0.0,3523.61,0.0,0.0,2
3,19,2026-01-18,2,484.27,254.09,230.18,0.0,0.0,2
3,20,2026-01-21,2,7037.150000000001,0.0,7037.150000000001,0.0,0.0,2
3,21,2026-01-28,1,17553.53,0.0,17553.53,0.0,17553.53,1
3,22,2026-02-03,2,21006.49,0.0,21006.49,0.0,18969.99,2
3,25,2026-02-25,1,305.59,0.0,305.59,0.0,0.0,1
6,0,2025-09-01,10,3032.07,1914.4,1117.67,1079.88,0.0,10
6,1,2025-09-08,4,13306.67,1306.67,12000.0,541.32,0.0,3
6,2,2025-09-16,3,333.59,250.87,82.72,80.14,0.0,3
6,3,2025-09-22,5,12809.8,639.22,12170.58,0.0,0.0,4
6,4,2025-10-01,6,1254.2,1031.03,223.17000000000002,621.44,0.0,6
6,5,2025-10-07,6,9036.59,2229.61,6806.98,106.16,0.0,6
6,6,2025-10-14,5,12574.48,0.0,12574.48,0.0,0.0,4
6,7,2025-10-22,4,7576.54,1458.1000000000001,6118.44,0.0,0.0,4
6,8,2025-10-27,6,3061.17,2326.91,734.26,0.0,0.0,6
6,9,2025-11-03,8,8651.09,750.76,7900.33,709.6099999999999,0.0,8
6,10,2025-11-10,6,8563.1,1853.08,6710.02,504.97999999999996,0.0,6
6,11,2025-11-17,8,33363.64,32192.59,1171.05,1484.21,299.93,8
6,12,2025-11-25,6,39040.93,16133.23,22907.7,1273.06,0.0,6
6,13,2025-12-01,1,195.37,0.0,195.37,0.0,0.0,1
6,14,2025-12-08,7,4106.96,2796.62,1310.34,1561.76,0.0,7
6,15,2025-12-16,5,6044.24,851.85,5192.389999999999,0.0,0.0,5
6,16,2025-12-24,6,772.73,457.46000000000004,315.27,0.0,0.0,6
6,17,2025-12-29,5,2229.13,2229.13,0.0,862.53,0.0,5
6,18,2026-01-06,4,1471.49,978.59,492.9,127.54,0.0,4
6,19,2026-01-12,7,3152.51,2606.64,545.87,556.1800000000001,0.0,7
6,20,2026-01-21,4,1022.87,179.14,843.73,89.67,0.0,4
6,21,2026-01-27,2,191.41,191.41,0.0,131.03,0.0,2
6,22,2026-02-02,5,2155.86,1431.08,724.78,1431.08,0.0,5
6,23,2026-02-09,5,1793.19,958.7299999999999,834.46,329.33,0.0,5
6,24,2026-02-16,4,1189.27,549.5899999999999,639.68,0.0,0.0,4
