txn_id,customer_key,date_key,calendar_date,amount_cad,direction,channel,counterparty_country,counterparty_id,hour_of_day,is_high_risk
T000001189,3,0,2025-09-01,8103.43,debit,cash,CA,P0030948,12,0
T000003872,3,1,2025-09-02,622.93,debit,pos,CA,P0015010,11,0
T000005041,3,1,2025-09-02,14889.26,debit,wire,XC,P0038228,17,1
T000005889,3,2,2025-09-03,1176.82,credit,pos,CA,P0022727,7,0
T000017902,3,7,2025-09-08,182.31,debit,pos,CA,P0048515,9,0
T000039401,3,15,2025-09-16,16024.89,debit,wire,XC,P0001657,15,1
T000048227,3,18,2025-09-19,9405.28,debit,wire,UNK,P0032955,16,0
T000097904,3,38,2025-10-09,12014.92,debit,wire,XC,P0050580,11,1
T000115058,3,44,2025-10-15,228.3,debit,pos,CA,P0022630,20,0
T000123732,3,48,2025-10-19,2788.75,credit,cash,CA,P0054567,16,0
T000136267,3,53,2025-10-24,7857.45,debit,wire,XC,P0018940,9,1
T000159524,3,62,2025-11-02,7667.28,debit,wire,XC,P0059232,19,1
T000166240,3,65,2025-11-05,891.46,credit,pos,CA,P0010763,10,0
T000171279,3,66,2025-11-06,729.57,debit,cheque,CA,P0053717,20,0
T000173923,3,67,2025-11-07,19442.88,debit,wire,XC,P0015679,19,1
T000183551,3,72,2025-11-12,817.83,debit,emt,CA,P0044581,9,0
T000206706,3,80,2025-11-20,14358.21,debit,wire,XC,P0028606,19,1
T000209147,3,81,2025-11-21,5988.64,debit,wire,XC,P0038567,16,1
T000211822,3,83,2025-11-23,2095.44,debit,pos,CA,P0054223,8,0
T000213958,3,84,2025-11-24,369.58,credit,emt,CA,P0036407,10,0
T000228483,3,89,2025-11-29,15152.89,debit,wire,XC,P0037929,8,1
T000247228,3,96,2025-12-06,789.95,debit,emt,CA,P0056708,11,0
T000251333,3,98,2025-12-08,9363.71,debit,wire,XC,P0059730,12,1
T000258211,3,100,2025-12-10,120.47,debit,emt,CA,P0050395,16,0
T000276974,3,107,2025-12-17,4114.54,debit,emt,CA,P0010763,16,0
T000279443,3,108,2025-12-18,954.19,debit,cheque,CA,P0004042,13,0
T000280992,3,108,2025-12-18,21376.78,debit,wire,UNK,P0010412,20,0
T000290445,3,112,2025-12-22,10081.6,debit,wire,XC,P0016279,20,1
T000293829,3,114,2025-12-24,122.27,credit,cheque,CA,P0046154,7,0
T000320830,3,123,2026-01-02,344.77,debit,emt,CA,P0007073,18,0
T000327848,3,127,2026-01-06,139.23,debit,pos,CA,P0047915,7,0
T000331627,3,128,2026-01-07,3384.38,debit,emt,CA,P0016518,10,0
T000360915,3,139,2026-01-18,254.09,credit,cheque,CA,P0001868,10,0
T000361799,3,139,2026-01-18,230.18,debit,emt,CA,P0002142,16,0
T000371300,3,142,2026-01-21,4711.85,debit,preauth,CA,P0011268,19,0
T000375378,3,144,2026-01-23,2325.3,debit,emt,CA,P0054689,10,0
T000387698,3,149,2026-01-28,17553.53,debit,wire,XC,P0005417,9,1
T000403780,3,155,2026-02-03,18969.99,debit,wire,XC,P0042327,11,1
T000406338,3,156,2026-02-04,2036.5,debit,pos,CA,P0008946,9,0
T000459225,3,177,2026-02-25,305.59,debit,emt,CA,P0052955,10,0
T000008389,25,2,2025-09-03,184.67,debit,pos,CA,P0028151,20,0
T000013114,25,4,2025-09-05,211.5,debit,pos,CA,P0048704,15,0
T000015328,25,5,2025-09-06,53.11,credit,emt,CA,P0019955,16,0
T000028243,25,10,2025-09-11,20000.0,debit,emt,CA,P0026447,18,0
T000037024,25,14,2025-09-15,238.75,debit,pos,CA,P0029196,18,0
T000042880,25,16,2025-09-17,20000.0,debit,wire,CA,P0026447,18,0
T000044762,25,17,2025-09-18,177.06,debit,pos,CA,P0031787,13,0
T000049944,25,19,2025-09-20,55.42,debit,pos,CA,P0050211,12,0
T000052212,25,20,2025-09-21,127.68,debit,pos,CA,P0031778,18,0
T000053317,25,21,2025-09-22,5.13,credit,preauth,CA,P0048931,11,0
T000057056,25,22,2025-09-23,107.67,debit,pos,CA,P0033218,15,0
T000060257,25,23,2025-09-24,5.0,credit,pos,CA,P0023712,16,0
T000063809,25,24,2025-09-25,73.5,credit,emt,CA,P0039157,19,0
T000067831,25,26,2025-09-27,20000.0,debit,wire,CA,P0026447,14,0
T000072526,25,28,2025-09-29,20000.0,debit,emt,CA,P0026447,18,0
T000073697,25,29,2025-09-30,46.06,debit,pos,CA,P0022350,10,0
T000077745,25,30,2025-10-01,20.87,debit,pos,CA,P0000903,15,0
T000081897,25,31,2025-10-02,33.7,debit,pos,CA,P0031721,20,0
T000084998,25,33,2025-10-04,74.28,credit,pos,US,P0056982,8,0
T000089274,25,35,2025-10-06,151.2,credit,emt,CA,P0045838,13,0
